TRANS NO,SEQ,METER NO,READING DATE,EMPLOYEE ID,READING,USAGE AMOUNT,BILLED DATE,UOM,METER DESCRIPTION,METER TYPE,UTILITY TYPE,LONG DESCRIPTION,REGION CODE,FACILITY ID,BUILDING,USAGE FACTOR,START DATE,BUILDING NAME,BUILDING CLASS,PROPERTY TYPE,METER MULTIPLIER,YEAR-MONTH,SERIAL #,ROUTE NO
8969,127,CW290B,3/31/2023 0:00,600317,16924838,69398,4/29/2023 16:05,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2023-3,LL 21590,SC
9011,244,CW290B,4/30/2023 0:00,600317,17022123,97285,5/30/2023 14:16,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2023-4,LL 21590,SC
9036,244,CW290B,5/31/2023 0:00,600317,17249248,227125,6/30/2023 8:22,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2023-5,LL 21590,SC
9059,244,CW290B,6/30/2023 0:00,600317,17537775,288527,8/2/2023 13:44,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2023-6,LL 21590,SC
9096,246,CW290B,7/31/2023 0:00,600317,17951033,413258,8/31/2023 14:20,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2023-7,LL 21590,SC
9117,246,CW290B,8/31/2023 0:00,600317,18284680,333647,9/30/2023 12:28,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2023-8,LL 21590,SC
9139,251,CW290B,9/30/2023 0:00,600317,18590549,305869,10/31/2023 14:25,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2023-9,LL 21590,SC
9376,119,CW290B,10/31/2023 0:00,600317,18733687,143138,12/4/2023 14:40,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2023-10,LL 21590,SC
9406,118,CW290B,11/30/2023 0:00,600317,18795775,62088,12/23/2023 12:37,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2023-11,LL 21590,SC
9475,93,CW290B,12/31/2023 0:00,600317,18837535,41760,2/5/2024 8:17,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2023-12,LL 21590,SC
9509,90,CW290B,1/31/2024 0:00,600317,18873453,35918,3/4/2024 14:02,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2024-1,LL 21590,SC
